listingId,picklistId_mongo,warehouseId_mongo,bin_id,error massage
LSTAPCFT57HKTF4HFJYTILRPW,P210721-0AF922D927A4,4,N/A,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//input[@class=""productId-input""]""}
  (Session info: chrome=91.0.4472.164)
"
LSTAPCFT57HKTF4HFJYTILRPW,P210721-0AF922D927A4,4,A107A390,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//input[@class=""productId-input""]""}
  (Session info: chrome=91.0.4472.164)
"
LSTDEOFXU5FFVC4R7JHNTYSWQ,P210721-0AF922D927A4,4,ST-001-006-006,"Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//input[@class=""productId-input""]""}
  (Session info: chrome=91.0.4472.164)
"
